,,tl_2014_us_cd114_adjusted_moment_centroid,tl_2014_us_cd114_area_per,tl_2014_us_cd114_convex_hull,convex_hull_pop,population_moments
CA,50,0.8916883370594333,0.2202288544431863,0.8054187178041399,0.6517322844866752,1.5851503027135172
CA,51,0.7063107452930979,0.2209536874082304,0.7412141907966754,0.49106464197089267,0.4346409083583857
CA,52,0.7694239713413675,0.11925058446708191,0.6592554490982834,0.518694747406172,1.1267773693182974
CA,53,0.7997387939234367,0.15302564336733554,0.7022663508627289,0.6499175240955389,0.7274401741477541
CO,01,0.5433047443852166,0.09457471706370783,0.5335915544221476,0.6536973571355885,0.8165537307917499
CO,02,0.9052158937205597,0.2255527298510999,0.7644091724439038,0.4664681333214793,1.5565614792698297
CO,03,0.8701397388312339,0.3441224859116754,0.7892120773862208,0.34815507954014613,0.7373774513976435
CO,04,0.8852764234483067,0.3671606709265072,0.8132995318550451,0.1763791653107213,1.5177859045552466
CO,05,0.8091194425443415,0.37181247432701486,0.7962842689417536,0.9501288073549793,3.1429697381759345
CO,06,0.6964112449583661,0.11207061067999971,0.5607377609436377,0.4603602210327654,1.0085198750217907
CO,07,0.7214368135427762,0.1383380828617201,0.6296904764306689,0.57125626047056,1.116249875228857
CT,01,0.7539581329026196,0.17192000759396575,0.6730201442734776,0.7193613280640685,1.1005720229652243
CT,02,0.9413773600866998,0.4138203032408778,0.8362541048797281,0.5717884151131147,0.8491512328340254
CT,03,0.8183439950867709,0.19531092786183687,0.684460517243136,0.8066514248055647,0.8115150114575604
CT,04,0.781012223520823,0.31224884531230274,0.7008225931550615,0.8243504434167888,0.7034534082875851
CT,05,0.8706769820213839,0.23068676447205483,0.7490379836293751,0.7232882589356182,0.7020015933716897
CT,ZZ,0.4199737252479107,0.12129361086024433,0.7570433230091258,0.0,
DC,98,0.90658763086202,0.4936212380255574,0.8561329089201264,1.0007151255710611,1.031167216319764
DE,00,0.7759678977036688,0.4910054886660512,0.8399318161105664,1.0007567525396905,0.4902593323183419
FL,01,0.7949355802901438,0.3525031010469773,0.824262755819994,0.9877065922282174,1.0237163174137784
FL,02,0.8099972228469376,0.4043996724606326,0.7832003861107161,0.9915842535831002,0.7944721787868401
FL,03,0.9291085347731559,0.36110698766717525,0.7928813757436027,0.7901347896684326,1.017232202753024
FL,04,0.7861231937724281,0.12937106454967384,0.7289568816818267,0.6455786330340977,1.7733699218353167
FL,05,0.44410467429723205,0.038487327754245744,0.2861144125833847,0.32093550594888315,0.08370942243094621
FL,06,0.7924691164878465,0.2604040612563533,0.7256426249542154,0.8218166840547417,0.626807976846756
FL,07,0.9036959546060938,0.21123775378829598,0.770560668949357,0.8651860595141951,1.0998129016026061
FL,08,0.7521202955623277,0.4211508883433712,0.7617681584935861,0.9782090759928974,0.8410128859236664
FL,09,0.907149790435289,0.32026121454110795,0.8002898499843033,0.7674229458187906,2.001541974711859
FL,10,0.8339473305758154,0.20040221053680707,0.7330155479696935,0.5619415144083533,0.6706284334917976
FL,11,0.8662319369308633,0.32856895144523224,0.7119217361856214,0.758592853804648,0.9304609272099966
FL,12,0.7930095072420629,0.3890281821875124,0.8088387614260095,0.6904756474721343,0.93597497348305
FL,13,0.9212175471363532,0.44181472135001315,0.8160104470389625,0.8706402036488757,1.5787527197133977
FL,14,0.8041138774858603,0.2502006692825211,0.6929219788721188,0.658966446268322,0.9746996776158591
FL,15,0.8704537782518023,0.2615504346719502,0.747057327383405,0.6943079006195821,0.7821274066993875
FL,16,0.8546593824886732,0.46697141632613504,0.8053835517865735,0.9710123505681652,1.1023691082081704
FL,17,0.949183672247806,0.34594439479392164,0.8174015850624543,0.6328190886090673,0.7656344650449323
FL,18,0.9261476499447324,0.47733183443939065,0.824871535631868,0.8793365803886112,1.0053949636016313
FL,19,0.7173866217381992,0.30652991519072537,0.6990243929028072,0.8090111253624804,1.0283728501412752
FL,20,0.9306223963469942,0.21637670475731854,0.7399601212822384,0.35339722673090845,1.0703111407827828
FL,21,0.6449696354813307,0.2664226305272508,0.604403786532297,0.850325308090207,0.37709507302039913
FL,22,0.5582743865719266,0.13380240256474327,0.6102167874277312,0.4287597092102313,0.33127020938028284
FL,23,0.6432157692696506,0.23350762214280335,0.5720975802344599,0.41466088493383,0.6181689547079972
FL,24,0.8536196888425523,0.2825621948157689,0.7309876630400275,0.7368192163746774,0.7799984039607791
FL,25,0.7784057368819287,0.3120899336558861,0.73283179990123,0.7411234180414845,0.34003307601269706
FL,26,0.6567810322745098,0.19722806564267967,0.4603075934773264,0.7656366479090663,0.947939407190622
FL,27,0.909215944194079,0.43336850093198753,0.8119468894501357,0.6934546808900502,1.5385979057858714
GA,01,0.8355474494419983,0.2193180295959202,0.7434126541022519,0.9272385209721898,0.8474600294325746
GA,02,0.8935819876986649,0.3097843992085045,0.829482590422851,0.7392416314303967,0.6595094976035664
GA,03,0.9092338347587835,0.2839230332345789,0.787208205284657,0.6128257198094501,0.7831514564628951
GA,04,0.9083271362233047,0.2622914906295234,0.803534704998513,0.8295615835355269,0.9088147376580552
GA,05,0.9339024958095817,0.3616026475505382,0.8563760264085907,0.8997684453857445,1.0518500031540863
GA,06,0.8972281177380537,0.2666145095834747,0.6693985604213945,0.7022859625014463,0.8556138678591504
GA,07,0.8892822569710249,0.255610746983582,0.7450699948104001,0.7857539479317005,0.9528855466652453
GA,08,0.7555432107536052,0.1566022461873396,0.6661789527872864,0.6660128221539717,0.493265196037634
GA,09,0.8331128186146788,0.2844485681783808,0.8451044666189809,0.9088359912055121,1.0071946624577703
GA,10,0.9067236219266026,0.27001278758015945,0.8069497994031158,0.6384685082016524,0.8244787146251925
GA,11,0.8665153678623678,0.27212114752355837,0.7509359224368786,0.5945788262143121,1.1901875186434685
GA,12,0.8605461810867336,0.18065059337430947,0.6824003093933498,0.8443703356615369,0.5748466889032059
GA,13,0.715939119906494,0.1594393762990249,0.6108031215181454,0.5008404468484329,0.5896137273680149
GA,14,0.8595007807824688,0.30850985920207946,0.7785262619995013,0.6680265830507951,0.6955949093676489
GU,98,0.832890858892609,0.6163687178745733,0.867966196805509,,
HI,01,0.7770613218300444,0.38738920507944435,0.7208295740959493,0.8433022447709997,1.1802779107432504
HI,02,0.11186506464496074,0.06465618754153991,0.06465513988418516,0.4997460120958523,0.15687575567877532
IA,01,0.8463306445578678,0.2622233934425636,0.6737955535784602,0.7369800335999133,0.9316978696676546
IA,02,0.7132675775265575,0.3167413418455858,0.7338492984849946,0.724045323656884,0.5460398131842114
IA,03,0.8174041303216794,0.43937442266867366,0.8338451375996236,0.9653857220539901,0.5614897092288269
IA,04,0.8386160365451022,0.3801433544015036,0.8810094292710812,0.8595818166426817,0.610804764535027
ID,01,0.7017384749307282,0.19665201393048934,0.7362044374918217,0.7768221040013473,0.5216059911423666
ID,02,0.9182385547930294,0.31241834490724485,0.8115735469896341,0.9422400646561055,0.5894653086867581
IL,01,0.5979141836275513,0.1196005099700327,0.628642302929468,0.5894031740204286,0.5916836456844089
IL,02,0.817575364845077,0.36162664734430366,0.8063345206739334,0.6331360000710577,0.9920576819678846
