,,combined_sldl_adjusted_moment_centroid,combined_sldl_area_per,combined_sldl_convex_hull,combined_sldl_convex_hull_pop,combined_sldl_population_moments
AL,090,0.7506486592149687,0.13266929848424716,0.5738482125100611,0.5361954142721708,0.7679148248242567
AL,091,0.9470705061556352,0.49044560527898945,0.907283981817389,0.9534991960734535,1.6544951426532732
AL,092,0.8211102554141556,0.2716094840621916,0.7970705429428687,0.7820801831171533,0.882756068249043
AL,093,0.8387468429005536,0.26158267223798787,0.7249404581617763,0.7060811848938328,0.6884987969252387
AL,094,0.8496642569416941,0.42046557892279274,0.8493026803716102,0.8161109335605979,1.2983970826192637
AL,095,0.7551746131746196,0.4137028935942944,0.8540718007323042,0.9168893852965815,1.7612682591361188
AL,096,0.8757859123935766,0.28892132033626367,0.8059243738621369,0.8067176751368805,0.877346554112849
AL,097,0.7561313919723897,0.2485838508373969,0.717955190788772,0.5530251904931349,1.0802325134776032
AL,098,0.5456084276452962,0.10587635349869376,0.4493520880602364,0.6953590273706298,0.6811920881700366
AL,099,0.6458122862654887,0.10555374432340775,0.509367332779507,0.5201089402559634,0.5258224235328484
AL,100,0.8444690192726236,0.3892501167790849,0.8773478883518454,0.988767249511858,1.315287873413463
AL,101,0.5855959258242439,0.16808027504821793,0.5745123045217196,0.5300347956928575,0.6641794204707892
AL,102,0.8913988242536076,0.29173089465825947,0.8202489132380911,0.7042563830119691,1.0075525562093108
AL,103,0.6290150596844533,0.12768463665841168,0.5507515570217563,0.6125652315720809,0.6729327907854076
AL,104,0.8170819307429619,0.2679534678972088,0.7745001431185212,0.9085265067526709,0.950628432193311
AL,105,0.938826353882965,0.4045491129395925,0.8436898118951915,0.6816800012099397,2.212286115689235
AR,001,0.962263114963085,0.4344295177340464,0.8375852182140359,0.9921752738654147,1.553517007038596
AR,002,0.7318507491098235,0.1497951514226445,0.6646798036906176,0.39328887310419214,0.450477501293421
AR,003,0.9513314576595684,0.26146987855604337,0.834593264728856,0.9486115133378382,1.7579842839131763
AR,004,0.936682850214074,0.18312496744010892,0.7643106385863215,0.8916359014706773,0.9115277806925464
AR,005,0.7237340817202684,0.10475138498178552,0.6099057365721086,0.5565429350120916,0.42394649044563143
AR,006,0.7204312850425637,0.12347828005022625,0.5756539104903646,0.4107030286419076,0.6727374489619573
AR,007,0.7403542716635785,0.11934400782622716,0.6853674690360494,0.5129240563892679,0.8162252731596787
AR,008,0.7943216687748217,0.21448739491841706,0.7753195112995287,0.748352617651637,0.9032960539475232
AR,009,0.8591321806915645,0.344098211597452,0.7578666060205304,0.8992473381471057,0.5169157308789795
AR,010,0.8256311920925229,0.21000814782612398,0.7666870475883154,0.5051625994361544,0.7665599684914993
AR,011,0.7344102094548637,0.1530390561271135,0.5973895447053659,0.5527597558862599,0.7278964777352409
AR,012,0.6643445393938221,0.11469197656786133,0.630076979096498,0.6979499940751274,0.3327801203241046
AR,013,0.694694985957823,0.14438310861806636,0.6443055801800753,0.8146913856838803,0.5336075585992511
AR,014,0.8651354712821246,0.2908193041241639,0.7652065485369373,0.6526839276554939,1.0957319609028857
