,,combined_sldu_adjusted_moment_centroid,combined_sldu_area_per,combined_sldu_convex_hull,combined_sldu_convex_hull_pop,combined_sldu_population_moments
AL,018,0.5000263927523416,0.13300301370470163,0.6003723661341377,0.5674954477179851,0.5549258682255678
AL,019,0.7268774956368526,0.1720431179819404,0.6629957024361582,0.8525725094577553,1.0831799623669252
AL,020,0.754605072811297,0.09719103334243706,0.6175874757678487,0.5708766804026211,0.6210245824893013
AL,021,0.6378565192774194,0.14098840663601003,0.5487346359424016,0.5593287444684106,0.6615212472737935
AL,022,0.7408407604305566,0.07193871655980728,0.552519680932589,0.5532541632872113,0.6991694234796668
AL,023,0.9207684067304431,0.19097554889509552,0.7450369837272292,0.7548889459064491,0.8696999250116701
AL,024,0.8476055111312177,0.14952091241997778,0.7199191769568295,0.6059128904531457,0.5914422677209278
AL,025,0.6636142244612975,0.10942192446871236,0.6522023860547386,0.4774173543526825,0.9505806123281648
AL,026,0.7778744469847924,0.1136621553565208,0.6477224643579734,0.6627953291365508,1.9324940572742129
AL,027,0.6680285029732395,0.09461433409973033,0.5726344350444819,0.6021962667831022,0.5623116278938911
AL,028,0.8718998504451005,0.15320999135547458,0.6936450941043408,0.49617905894035447,0.44585762915718946
AL,029,0.7060527057613211,0.23069988341482817,0.7686651440472201,0.666191692951229,0.9676920585406481
AL,030,0.8573601336515408,0.2028521639110567,0.7462041828513879,0.7254691803946367,1.1494066140266772
AL,031,0.8044903595905991,0.21550396362278984,0.7091348628915848,0.7378041930358585,0.8819454870441428
AL,032,0.9376935020425693,0.4893879292312817,0.8835561293381365,0.9619590994057418,1.1313162972115387
AL,033,0.8534369353487264,0.2850034693304972,0.7565648339308072,0.7054942095340695,1.479653381916103
AL,034,0.9184593096492393,0.21412820870173838,0.8288003739606989,0.6027457690559581,1.6089940846630106
AL,035,0.9666312459047388,0.47805168336439263,0.8807567043294062,0.8118921255493384,2.4725216776169447
AR,001,0.8859778009659119,0.22752236000091253,0.7438712306359966,0.6564506504356128,1.426927071958483
AR,002,0.6625852185263175,0.15575305268240394,0.6445401051395293,0.4810535463141887,0.4915442261325075
AR,003,0.9612367347894856,0.27831908554574203,0.8216373216327827,0.8389715832205683,1.7620184118667095
AR,004,0.8908680717908726,0.26654725587187794,0.750274522872074,0.9184397949901267,2.0290708067407786
AR,005,0.7582019925893553,0.2111470108324636,0.6881260103413571,0.3298495066345042,0.430412295888828
AR,006,0.941565259952489,0.28308573486540445,0.7383079693317928,0.5770451010886469,1.1646885449113764
AR,007,0.7950105684890041,0.23050552681833755,0.6647784324251247,0.5481623718772118,1.6528157797297254
AR,008,0.7988776659545683,0.2046318987001983,0.7083799198103785,0.9044517307396078,0.8193316186866503
AR,009,0.8176571193170888,0.1754753871634812,0.681201368713254,0.4365710963334424,1.0680372924998576
